Attack Step,Mitigation,Type,Description,TTC Reference
API reconnaissance,API authentication and authorization,Preventative,Implement Amazon Cognito for centralized identity management with fine-grained access controls,
Strategic query crafting,Request rate limiting,Preventative,Use AWS WAF rate-based rules to limit requests per IP address within specific timeframes,
Response harvesting,Per-user throttling,Preventative,Implement usage-based pricing model and API Gateway usage plans with request quotas,
Model distillation,Monitoring for suspicious API use,Detective,Leverage AWS CloudTrail and CloudWatch to detect unusual API usage patterns and set up alerts,
Rate limit bypass,CAPTCHA or proof of work,Preventative,Configure AWS WAF CAPTCHA and Challenge actions for suspicious request patterns,
Distributed request patterns,Anomaly detection on access patterns,Detective,Use AWS CloudWatch anomaly detection to identify unusual behavior in API metrics,
Query optimization,Prompt filtering and detection,Preventative,Implement logical fallacy detection using LangChain to filter malicious queries,
High-value prompt engineering,Content moderation,Preventative,Enable Amazon Bedrock Guardrails for content filtering and responsible AI policy enforcement,
Pattern analysis,Encryption mechanisms,Preventative,Use AWS KMS envelope encryption for data at rest and in transit to protect model responses,
Model behavior mapping,Enable logging and monitoring,Detective,Implement comprehensive logging with Amazon Bedrock model invocation logging and CloudWatch integration,
