Attack Step,Mitigation,Type,Description,TTC Reference
Log system access,Least privilege permissions,Preventative,Restrict IAM roles and policies to provide developers minimum required access to logs and data,
Conversation log analysis,Enable content moderation,Preventative,Use Amazon Bedrock Guardrails for PII redaction and content filtering in logged conversations,
Sensitive data extraction,Data sanitization and scrubbing,Preventative,Anonymize customer PII during logging and implement tokenization for stored credentials,
Log aggregation exploitation,Individual user authorization,Preventative,Use Amazon Cognito for fine-grained access controls and user-specific log access permissions,
Search query crafting,Anomaly detection on access patterns,Detective,Monitor CloudWatch Logs for suspicious activity and unusual search patterns,
PII pattern matching,Enable content moderation,Preventative,Apply Amazon Bedrock Guardrails PII detection and redaction before data is logged,
Log retention exploitation,Encryption mechanisms,Preventative,Enable encryption using KMS for log storage and transit with separate production and non-production streams,
Historical data mining,Behavior monitoring,Detective,Implement real-time monitoring to detect anomalous log access patterns and bulk data retrieval,
Long-term data collection,Data access controls,Preventative,Leverage CloudTrail data events for auditing and implement fine-grained access controls,
Conversation reconstruction,Enable content moderation,Preventative,Use content filtering and PII redaction to prevent sensitive conversation data from being logged,
Context correlation,Anomaly detection on access patterns,Detective,Monitor for patterns indicating systematic correlation of conversation data across users,
Identity linking,Data sanitization and scrubbing,Preventative,Implement comprehensive anonymization and tokenization to prevent identity reconstruction,
Data compilation,Behavior monitoring,Detective,Monitor for bulk log access and data compilation activities that may indicate malicious intent,
Customer profiling,Legal safeguards on data usage,Preventative,Implement data usage restrictions and privacy controls aligned with regulatory requirements,
